Date,Pond No,pH,TDS,Temperature,Turbidity,DO,Salinity,month
2024-11-23,23,9.0,8500,30.6,28.91,5.12,17,11
2024-11-24,0,8.601,5500,31.1,14.54,6.35,11,11
2024-11-25,3,8.169,9500,29.9,14.26,6.98,19,11
2024-11-26,0,8.286,9500,29.6,23.75,5.49,19,11
2024-11-27,1,8.509,10500,29.9,10.23,4.35,21,11
2024-11-28,2,8.48,9500,29.0,45.36,4.54,19,11
2024-11-29,23,8.289,6000,29.9,7.58,5.17,12,11
2024-11-30,16,8.156,5500,30.6,23.75,6.13,11,11
2024-12-01,17,7.978,5500,30.8,15.86,4.41,11,12
2024-12-02,16,9.0,7500,30.9,36.62,6.54,15,12
2024-12-03,2,8.454,7000,30.4,45.49,4.56,14,12
2024-12-04,23,8.497,7000,30.7,24.35,7.01,14,12
2024-12-05,0,8.813,7000,30.3,34.79,6.44,14,12
2024-12-06,1,8.772,7000,30.2,23.52,5.79,14,12
2024-12-07,3,8.318,7000,30.8,42.15,4.19,14,12
2024-12-08,16,8.743,5000,29.03,27.48,4.39,10,12
2024-12-09,1,8.946,5000,29.33,18.23,6.25,10,12
2024-12-10,2,8.928,5000,29.53,45.91,5.33,10,12
2024-12-11,3,8.852,5500,28.93,12.78,6.67,11,12
2024-12-12,23,8.94,5500,28.73,21.06,5.45,11,12
